,Line,Producer,Socket
AMD Athlon X2 340,AMD Athlon X2,AMD,FM2
AMD Athlon X4 840,AMD Athlon X4,AMD,FM2+
AMD A6-9500,AMD A6,AMD,AM4
AMD Sempron 2650,AMD Sempron,AMD,AM1
AMD A6-9500,AMD A6,AMD,AM4
AMD Athlon X4 950,AMD Athlon X4,AMD,AM4
AMD Sempron 3850,AMD Sempron,AMD,AM1
AMD A8-9600,AMD A8,AMD,AM4
AMD Athlon 200GE,AMD Athlon,AMD,AM4
AMD A8-9600,AMD A8,AMD,AM4
AMD FX-4300,AMD FX,AMD,AM3+
Intel Celeron G4900,Intel Celeron,Intel,LGA 1151-v2
AMD FX-6300,AMD FX,AMD,AM3+
AMD A6-9500E,AMD A6,AMD,AM4
AMD Athlon 200GE,AMD Athlon,AMD,AM4
AMD Athlon X4 950,AMD Athlon X4,AMD,AM4
Intel Celeron G4900,Intel Celeron,Intel,LGA 1151-v2
AMD A10-9700,AMD A10,AMD,AM4
AMD FX-8300,AMD FX,AMD,AM3+
Intel Celeron G4920,Intel Celeron,Intel,LGA 1151-v2
AMD Athlon 220GE,AMD Athlon,AMD,AM4
Intel Celeron G3930,Intel Celeron,Intel,LGA 1151
AMD FX-8320E,AMD FX,AMD,AM3+
AMD Athlon 240GE,AMD Athlon,AMD,AM4
AMD FX-8300,AMD FX,AMD,AM3+
Intel Pentium G4400,Intel Pentium,Intel,LGA 1151
AMD FX-8320E,AMD FX,AMD,AM3+
Intel Pentium Gold G5400,Intel Pentium,Intel,LGA 1151-v2
AMD A10-9700,AMD A10,AMD,AM4
AMD Athlon 220GE,AMD Athlon,AMD,AM4
AMD FX-8350,AMD FX,AMD,AM3+
Intel Pentium G4560,Intel Pentium,Intel,LGA 1151
AMD Ryzen 3 1200,AMD Ryzen 3,AMD,AM4
Intel Celeron G1840,Intel Celeron,Intel,LGA 1150
Intel Celeron G4920,Intel Celeron,Intel,LGA 1151-v2
Intel Pentium G4560,Intel Pentium,Intel,LGA 1151
Intel Pentium Gold G5400,Intel Pentium,Intel,LGA 1151-v2
AMD FX-8350,AMD FX,AMD,AM3+
AMD Ryzen 3 1200,AMD Ryzen 3,AMD,AM4
AMD Ryzen 3 2200G,AMD Ryzen 3,AMD,AM4
AMD A12-9800E,AMD A12,AMD,AM4
AMD Ryzen 3 2200GE,AMD Ryzen 3,AMD,AM4
AMD Ryzen 3 2200G,AMD Ryzen 3,AMD,AM4
AMD Athlon 240GE,AMD Athlon,AMD,AM4
AMD A12-9800E,AMD A12,AMD,AM4
AMD Ryzen 3 1300X,AMD Ryzen 3,AMD,AM4
Intel Pentium G4620,Intel Pentium,Intel,LGA 1151
AMD Ryzen 5 2400G,AMD Ryzen 5,AMD,AM4
Intel Core i3-9100F,Intel Core i3,Intel,LGA 1151-v2
Intel Pentium Gold G5600,Intel Pentium,Intel,LGA 1151-v2
Intel Core i3-7350K,Intel Core i3,Intel,LGA 1151
Intel Core i3-8100,Intel Core i3,Intel,LGA 1151-v2
Intel Pentium Gold G5500,Intel Pentium,Intel,LGA 1151-v2
Intel Pentium Gold G5600,Intel Pentium,Intel,LGA 1151-v2
Intel Core i3-8100,Intel Core i3,Intel,LGA 1151-v2
AMD Ryzen 5 1600,AMD Ryzen 5,AMD,AM4
