,Core,Frequency,Price
AMD Athlon X2 340,Trinity,3600,1599
AMD Athlon X4 840,Steamroller Kaveri,3800,1850
AMD A6-9500,Bristol Ridge,3800,1950
AMD Sempron 2650,Kabini,1450,2099
AMD A6-9500,Bristol Ridge,3800,2450
AMD Athlon X4 950,Bristol Ridge,3800,2650
AMD Sempron 3850,Kabini,1300,2650
AMD A8-9600,Bristol Ridge,3400,2799
AMD Athlon 200GE,Raven Ridge,3600,2799
AMD A8-9600,Bristol Ridge,3400,2950
AMD FX-4300,Vishera,4000,2999
Intel Celeron G4900,Coffee Lake S,3100,2999
AMD FX-6300,Vishera,4000,3050
AMD A6-9500E,Bristol Ridge,3400,3250
AMD Athlon 200GE,Raven Ridge,3600,3250
AMD Athlon X4 950,Bristol Ridge,3800,3250
Intel Celeron G4900,Coffee Lake S,3100,3299
AMD A10-9700,Bristol Ridge,3800,3450
AMD FX-8300,Vishera,4200,3750
Intel Celeron G4920,Coffee Lake S,3200,3750
AMD Athlon 220GE,Raven Ridge,3400,3799
Intel Celeron G3930,Kaby Lake-S,2900,3799
AMD FX-8320E,Vishera,4000,3899
AMD Athlon 240GE,Raven Ridge,3500,3999
AMD FX-8300,Vishera,4200,4199
Intel Pentium G4400,Skylake-S,3300,4199
AMD FX-8320E,Vishera,4000,4350
Intel Pentium Gold G5400,Coffee Lake S,3700,4550
AMD A10-9700,Bristol Ridge,3800,4650
AMD Athlon 220GE,Raven Ridge,3400,4650
AMD FX-8350,Vishera,4200,4650
Intel Pentium G4560,Kaby Lake-S,3500,4650
AMD Ryzen 3 1200,Summit Ridge,3400,4799
Intel Celeron G1840,Haswell,2800,4850
Intel Celeron G4920,Coffee Lake S,2400,4850
Intel Pentium G4560,Kaby Lake-S,3500,4899
Intel Pentium Gold G5400,Coffee Lake S,3700,5199
AMD FX-8350,Vishera,4200,5399
AMD Ryzen 3 1200,Summit Ridge,3400,5550
AMD Ryzen 3 2200G,Raven Ridge,3700,5550
AMD A12-9800E,Bristol Ridge,3800,5559
AMD Ryzen 3 2200GE,Raven Ridge,3600,5559
